City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Zhangye,CN,296.25,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
574,Bandarbeyla,SO,297.53,broken clouds,9.4942,50.8122,JABIR HOTEL
587,Berlin,DE,296.16,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
591,Guadalajara,MX,296.7,overcast clouds,20.6667,-103.3333,Hotel Aranzazú
594,Erice,IT,295.41,clear sky,38.037,12.5865,I Mulini Resort
597,Bon Air,US,297.6,overcast clouds,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
601,Mutsu,JP,295.16,heavy intensity rain,41.2894,141.2169,Mutsu Park Hotel
603,Olinda,BR,297.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
604,Maceio,BR,297.05,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
609,Tezu,IN,297.19,overcast clouds,27.9167,96.1667,Circuit House
614,Duluth,US,297.18,mist,46.7833,-92.1066,South Pier Inn
620,Pokrovskoye,RU,297.03,few clouds,47.4157,38.8971,Тихий уголок
622,Valle Del Guamuez,CO,295.01,broken clouds,0.4525,-76.9192,Hotel Casa Blanca Orito
627,Mayskiy,RU,296.82,clear sky,47.6931,40.1025,Dio Lakrua
631,Gloversville,US,296.77,clear sky,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
636,Japura,ID,297.13,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
639,Beidao,CN,297.98,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
642,Pishin,PK,297.52,clear sky,30.5803,66.9961,City Hotel Pishin
655,Ouahigouya,BF,296.74,moderate rain,13.5828,-2.4216,Hotel Liberte
663,Broome,US,296.79,overcast clouds,42.2506,-75.833,Chenango Valley State Park
665,Marawi,PH,296.76,overcast clouds,7.9986,124.2928,Derogongan Residence
667,Axim,GH,296.7,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
670,Boyolangu,ID,295.95,broken clouds,-8.1181,111.8935,Yos ega cv
675,Salvador,SV,296.43,broken clouds,13.8333,-88.9167,Chico's Ranch
678,Baruun-Urt,MN,295.7,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
684,Old Town,CZ,295.08,overcast clouds,50.087,14.4202,Botanique Hotel Prague
