City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Markivka,UA,2022-07-31 23:58:14,49.5229,39.5705,291.64,71,2,4.99,clear sky
60,Moranbah,AU,2022-07-31 23:58:14,-22.0016,148.0466,293.37,56,44,5.17,scattered clouds
61,Brenham,US,2022-07-31 23:55:08,30.1669,-96.3977,311.03,30,0,5.66,clear sky
62,Norman Wells,CA,2022-07-31 23:58:15,65.282,-126.8329,296.17,46,20,4.63,few clouds
63,Mbaiki,CF,2022-07-31 23:58:15,3.8678,17.9892,294.35,87,95,1.2,overcast clouds
64,Hilo,US,2022-07-31 23:55:02,19.7297,-155.09,302.75,70,24,2.68,few clouds
65,Trinidad,BO,2022-07-31 23:58:15,-14.8333,-64.9,301.14,61,20,1.54,smoke
66,Noumea,NC,2022-07-31 23:58:16,-22.2763,166.4572,296.14,99,99,6.15,overcast clouds
67,Edea,CM,2022-07-31 23:58:16,3.8,10.1333,295.16,99,87,0.45,light rain
68,Vanimo,PG,2022-07-31 23:58:16,-2.6741,141.3028,301.48,73,99,3.02,overcast clouds
69,Urumqi,CN,2022-07-31 23:56:02,43.801,87.6005,294.68,60,0,3.0,clear sky
70,Salihorsk,BY,2022-07-31 23:58:17,52.7876,27.5415,289.85,81,100,3.73,overcast clouds
71,Butaritari,KI,2022-07-31 23:58:17,3.0707,172.7902,300.6,78,62,6.05,broken clouds
72,Mangit,UZ,2022-07-31 23:58:17,40.5971,70.9607,298.6,36,89,0.38,overcast clouds
73,Barrow,US,2022-07-31 23:58:18,71.2906,-156.7887,278.62,77,51,4.42,broken clouds
74,Naze,JP,2022-07-31 23:58:18,28.3667,129.4833,300.66,84,100,9.5,overcast clouds
75,Ilulissat,GL,2022-07-31 23:58:18,69.2167,-51.1,278.11,80,38,2.49,scattered clouds
76,Kapaa,US,2022-07-31 23:57:59,22.0752,-159.319,301.59,69,81,2.68,broken clouds
77,Slatina,RO,2022-07-31 23:58:19,44.4333,24.3667,293.41,53,19,5.02,few clouds
78,Karratha,AU,2022-07-31 23:58:19,-20.7377,116.8463,295.65,66,31,1.02,scattered clouds
79,Cape Town,ZA,2022-07-31 23:57:02,-33.9258,18.4232,286.14,78,0,4.02,clear sky
80,Gigmoto,PH,2022-07-31 23:58:19,13.7796,124.39,301.8,79,100,3.25,overcast clouds
81,Bredasdorp,ZA,2022-07-31 23:58:20,-34.5322,20.0403,278.8,83,2,1.6,clear sky
82,Ponta Do Sol,PT,2022-07-31 23:58:20,32.6667,-17.1,295.38,79,2,1.09,clear sky
